team,moneyline
BAL Ravens ,+130
KC Chiefs ,−155
GB Packers ,+110
PHI Eagles ,−130
ARI Cardinals ,+245
BUF Bills ,−305
NE Patriots ,+300
CIN Bengals ,−380
HOU Texans ,−148
IND Colts ,+124
JAX Jaguars ,+136
MIA Dolphins ,−162
TEN Titans ,+160
CHI Bears ,−192
PIT Steelers ,+142
ATL Falcons ,−170
CAR Panthers ,+160
NO Saints ,−192
MIN Vikings ,−125
NY Giants ,+105
DEN Broncos ,+205
SEA Seahawks ,−250
LV Raiders ,+130
LA Chargers ,−155
DAL Cowboys ,+114
CLE Browns ,−135
WAS Commanders ,+145
TB Buccaneers ,−175
LA Rams ,+154
DET Lions ,−185
NY Jets ,+185
SF 49ers ,−225
BUF Bills ,−105
MIA Dolphins ,−115
LV Raiders ,+295
BAL Ravens ,−375
SF 49ers ,−290
MIN Vikings ,+235
TB Buccaneers ,+240
DET Lions ,−298
NO Saints ,+210
DAL Cowboys ,−258
SEA Seahawks ,−162
NE Patriots ,+136
NY Jets ,−198
TEN Titans ,+164
IND Colts ,+170
GB Packers ,−205
LA Chargers ,−170
CAR Panthers ,+142
CLE Browns ,+110
JAX Jaguars ,−130
NY Giants ,+120
WAS Commanders ,−142
LA Rams ,−135
ARI Cardinals ,+114
PIT Steelers ,−148
DEN Broncos ,+124
CIN Bengals ,+150
KC Chiefs ,−180
CHI Bears ,+150
HOU Texans ,−180
ATL Falcons ,+160
PHI Eagles ,−192
NE Patriots ,+285
NY Jets ,−360
NY Giants ,+225
CLE Browns ,−278
HOU Texans ,−198
MIN Vikings ,+164
GB Packers ,−180
TEN Titans ,+150
PHI Eagles ,−155
NO Saints ,+130
CHI Bears ,+114
IND Colts ,−135
DEN Broncos ,+150
TB Buccaneers ,−180
LA Chargers ,+120
PIT Steelers ,−142
MIA Dolphins ,−125
SEA Seahawks ,+105
CAR Panthers ,+160
LV Raiders ,−192
DET Lions ,−198
ARI Cardinals ,+164
BAL Ravens ,−110
DAL Cowboys ,−110
SF 49ers ,−155
LA Rams ,+130
KC Chiefs ,−180
ATL Falcons ,+150
JAX Jaguars ,+185
BUF Bills ,−225
WAS Commanders ,+275
CIN Bengals ,−345
DAL Cowboys ,−198
NY Giants ,+164
DEN Broncos ,+280
NY Jets ,−355
CIN Bengals ,−290
CAR Panthers ,+235
MIN Vikings ,+180
GB Packers ,−218
LA Rams ,+102
CHI Bears ,−122
JAX Jaguars ,+150
HOU Texans ,−180
NO Saints ,+150
ATL Falcons ,−180
PIT Steelers ,+102
IND Colts ,−122
PHI Eagles ,−162
TB Buccaneers ,+136
NE Patriots ,+455
SF 49ers ,−625
WAS Commanders ,+114
ARI Cardinals ,−135
KC Chiefs ,−175
LA Chargers ,+145
CLE Browns ,−148
LV Raiders ,+124
BUF Bills ,+136
BAL Ravens ,−162
TEN Titans ,+230
MIA Dolphins ,−285
SEA Seahawks ,+205
DET Lions ,−250
TB Buccaneers ,+136
ATL Falcons ,−162
NY Jets ,−192
MIN Vikings ,+160
BUF Bills ,+105
HOU Texans ,−125
MIA Dolphins ,−205
NE Patriots ,+170
CAR Panthers ,+185
CHI Bears ,−225
CLE Browns ,−162
WAS Commanders ,+136
IND Colts ,+114
JAX Jaguars ,−135
BAL Ravens ,+102
CIN Bengals ,−122
ARI Cardinals ,+350
SF 49ers ,−455
LV Raiders ,−108
DEN Broncos ,−112
NY Giants ,+150
SEA Seahawks ,−180
GB Packers ,+114
LA Rams ,−135
DAL Cowboys ,−125
PIT Steelers ,+105
NO Saints ,+295
KC Chiefs ,−375
SF 49ers ,−218
SEA Seahawks ,+180
JAX Jaguars ,−112
CHI Bears ,−108
WAS Commanders ,+320
BAL Ravens ,−410
ARI Cardinals ,+180
GB Packers ,−218
CLE Browns ,+130
PHI Eagles ,−155
HOU Texans ,−245
NE Patriots ,+200
IND Colts ,−122
TEN Titans ,+102
TB Buccaneers ,+102
NO Saints ,−122
LA Chargers ,−148
DEN Broncos ,+124
PIT Steelers ,−115
LV Raiders ,−105
ATL Falcons ,−180
CAR Panthers ,+150
DET Lions ,−102
DAL Cowboys ,−118
CIN Bengals ,−238
NY Giants ,+195
BUF Bills ,+102
NY Jets ,−122
DEN Broncos ,+150
NO Saints ,−180
NE Patriots ,+220
JAX Jaguars ,−270
TEN Titans ,+285
BUF Bills ,−360
MIA Dolphins ,−118
IND Colts ,−102
HOU Texans ,+114
GB Packers ,−135
CIN Bengals ,−110
CLE Browns ,−110
SEA Seahawks ,+145
ATL Falcons ,−175
PHI Eagles ,−205
NY Giants ,+170
DET Lions ,−170
MIN Vikings ,+142
LV Raiders ,+170
LA Rams ,−205
CAR Panthers ,+130
WAS Commanders ,−155
KC Chiefs ,−105
SF 49ers ,−115
NY Jets ,−115
PIT Steelers ,−105
BAL Ravens ,−225
TB Buccaneers ,+185
LA Chargers ,−102
ARI Cardinals ,−118
MIN Vikings ,+150
LA Rams ,−180
CHI Bears ,−130
WAS Commanders ,+110
ARI Cardinals ,+210
MIA Dolphins ,−258
TEN Titans ,+285
DET Lions ,−360
NY Jets ,−205
NE Patriots ,+170
IND Colts ,+164
HOU Texans ,−198
BAL Ravens ,−118
CLE Browns ,−102
ATL Falcons ,−105
TB Buccaneers ,−115
GB Packers ,−115
JAX Jaguars ,−105
BUF Bills ,−148
SEA Seahawks ,+124
NO Saints ,+130
LA Chargers ,−155
CAR Panthers ,+114
DEN Broncos ,−135
KC Chiefs ,−230
LV Raiders ,+190
PHI Eagles ,+130
CIN Bengals ,−155
DAL Cowboys ,+190
SF 49ers ,−230
NY Giants ,+154
PIT Steelers ,−185
HOU Texans ,+120
NY Jets ,−142
DEN Broncos ,+425
BAL Ravens ,−575
DAL Cowboys ,−115
ATL Falcons ,−105
NO Saints ,−120
CAR Panthers ,+100
NE Patriots ,+124
TEN Titans ,−148
MIA Dolphins ,+130
BUF Bills ,−155
IND Colts ,−108
MIN Vikings ,−112
LV Raiders ,+260
CIN Bengals ,−325
WAS Commanders ,+105
NY Giants ,−125
LA Chargers ,+140
CLE Browns ,−166
CHI Bears ,−122
ARI Cardinals ,+102
LA Rams ,−122
SEA Seahawks ,+102
DET Lions ,+102
GB Packers ,−122
JAX Jaguars ,+145
PHI Eagles ,−175
TB Buccaneers ,+285
KC Chiefs ,−360
CIN Bengals ,+130
BAL Ravens ,−155
NY Giants ,−118
CAR Panthers ,−102
PIT Steelers ,−122
WAS Commanders ,+102
NE Patriots ,+190
CHI Bears ,−230
DEN Broncos ,+340
KC Chiefs ,−440
BUF Bills ,−130
IND Colts ,+110
MIN Vikings ,+142
JAX Jaguars ,−170
SF 49ers ,−325
TB Buccaneers ,+260
ATL Falcons ,−115
NO Saints ,−105
TEN Titans ,+160
LA Chargers ,−192
NY Jets ,−155
ARI Cardinals ,+130
PHI Eagles ,+110
DAL Cowboys ,−130
DET Lions ,−102
HOU Texans ,−118
MIA Dolphins ,−105
LA Rams ,−115
WAS Commanders ,+270
PHI Eagles ,−340
LA Rams ,−198
NE Patriots ,+164
BAL Ravens ,−148
PIT Steelers ,+124
LV Raiders ,+235
MIA Dolphins ,−290
MIN Vikings ,−115
TEN Titans ,−105
JAX Jaguars ,+164
DET Lions ,−198
CLE Browns ,−135
NO Saints ,+114
GB Packers ,−112
CHI Bears ,−108
ATL Falcons ,−170
DEN Broncos ,+142
SEA Seahawks ,+330
SF 49ers ,−425
CIN Bengals ,−130
LA Chargers ,+110
KC Chiefs ,−110
BUF Bills ,−110
IND Colts ,+164
NY Jets ,−198
HOU Texans ,+130
DAL Cowboys ,−155
PIT Steelers ,+120
CLE Browns ,−142
DET Lions ,−135
IND Colts ,+114
KC Chiefs ,−355
CAR Panthers ,+280
DAL Cowboys ,−180
WAS Commanders ,+150
NE Patriots ,+295
MIA Dolphins ,−375
MIN Vikings ,+142
CHI Bears ,−170
TEN Titans ,+210
HOU Texans ,−258
TB Buccaneers ,−115
NY Giants ,−105
DEN Broncos ,+130
LV Raiders ,−155
SF 49ers ,−130
GB Packers ,+110
ARI Cardinals ,+130
SEA Seahawks ,−155
PHI Eagles ,−110
LA Rams ,−110
BAL Ravens ,−155
LA Chargers ,+130
CHI Bears ,+164
DET Lions ,−198
NY Giants ,+300
DAL Cowboys ,−380
MIA Dolphins ,+130
GB Packers ,−155
LV Raiders ,+285
KC Chiefs ,−360
IND Colts ,−155
NE Patriots ,+130
HOU Texans ,−112
JAX Jaguars ,−108
ARI Cardinals ,+114
MIN Vikings ,−135
TEN Titans ,+102
WAS Commanders ,−122
LA Chargers ,+114
ATL Falcons ,−135
PIT Steelers ,+180
CIN Bengals ,−218
SEA Seahawks ,+180
NY Jets ,−218
LA Rams ,−125
NO Saints ,+105
TB Buccaneers ,−130
CAR Panthers ,+110
PHI Eagles ,+154
BAL Ravens ,−185
SF 49ers ,−125
BUF Bills ,+105
CLE Browns ,−180
DEN Broncos ,+150
GB Packers ,+130
DET Lions ,−155
NY Jets ,+110
MIA Dolphins ,−130
LV Raiders ,+124
TB Buccaneers ,−148
CLE Browns ,−110
PIT Steelers ,−110
JAX Jaguars ,−122
TEN Titans ,+102
CAR Panthers ,+295
PHI Eagles ,−375
ATL Falcons ,−118
MIN Vikings ,−102
NO Saints ,−108
NY Giants ,−112
SEA Seahawks ,−105
ARI Cardinals ,−115
CHI Bears ,+190
SF 49ers ,−230
BUF Bills ,−115
LA Rams ,−105
LA Chargers ,+225
KC Chiefs ,−278
CIN Bengals ,−102
DAL Cowboys ,−118
LA Rams ,+230
SF 49ers ,−285
DAL Cowboys ,−285
CAR Panthers ,+230
WAS Commanders ,+130
NO Saints ,−155
CIN Bengals ,−218
TEN Titans ,+180
KC Chiefs ,−142
CLE Browns ,+120
MIA Dolphins ,+120
HOU Texans ,−142
NY Jets ,−115
JAX Jaguars ,−105
BAL Ravens ,−285
NY Giants ,+230
NE Patriots ,+150
ARI Cardinals ,−180
IND Colts ,−135
DEN Broncos ,+114
BUF Bills ,+110
DET Lions ,−130
PIT Steelers ,+170
PHI Eagles ,−205
TB Buccaneers ,+130
LA Chargers ,−155
GB Packers ,−118
SEA Seahawks ,−102
CHI Bears ,−112
MIN Vikings ,−108
ATL Falcons ,−118
LV Raiders ,−102
CLE Browns ,+150
CIN Bengals ,−180
HOU Texans ,+170
KC Chiefs ,−205
PIT Steelers ,+195
BAL Ravens ,−238
ARI Cardinals ,−118
CAR Panthers ,−102
LA Rams ,+130
NY Jets ,−155
DET Lions ,−110
CHI Bears ,−110
NE Patriots ,+320
BUF Bills ,−410
TEN Titans ,+160
IND Colts ,−192
PHI Eagles ,−170
WAS Commanders ,+142
NY Giants ,+170
ATL Falcons ,−205
DEN Broncos ,+160
LA Chargers ,−192
MIN Vikings ,+130
SEA Seahawks ,−155
JAX Jaguars ,−112
LV Raiders ,−108
SF 49ers ,−118
MIA Dolphins ,−102
TB Buccaneers ,+180
DAL Cowboys ,−218
NO Saints ,+180
GB Packers ,−218
KC Chiefs ,−230
PIT Steelers ,+190
BAL Ravens ,−122
HOU Texans ,+102
SEA Seahawks ,+150
CHI Bears ,−180
GB Packers ,−130
MIN Vikings ,+110
LV Raiders ,+130
NO Saints ,−155
LA Chargers ,−142
NE Patriots ,+120
ATL Falcons ,−142
WAS Commanders ,+120
DEN Broncos ,+300
CIN Bengals ,−380
TEN Titans ,+160
JAX Jaguars ,−192
NY Jets ,+114
BUF Bills ,−135
CAR Panthers ,+180
TB Buccaneers ,−218
IND Colts ,−125
NY Giants ,+105
ARI Cardinals ,+215
LA Rams ,−265
DAL Cowboys ,+120
PHI Eagles ,−142
MIA Dolphins ,+110
CLE Browns ,−130
DET Lions ,+170
SF 49ers ,−205
CLE Browns ,+170
BAL Ravens ,−205
BUF Bills ,−180
NE Patriots ,+150
HOU Texans ,−155
TEN Titans ,+130
NO Saints ,+110
TB Buccaneers ,−130
WAS Commanders ,+195
DAL Cowboys ,−238
CHI Bears ,+142
GB Packers ,−170
MIN Vikings ,+195
DET Lions ,−238
CIN Bengals ,−118
PIT Steelers ,−102
NY Giants ,+180
PHI Eagles ,−218
MIA Dolphins ,+130
NY Jets ,−155
CAR Panthers ,+225
ATL Falcons ,−278
JAX Jaguars ,+110
IND Colts ,−130
KC Chiefs ,−192
DEN Broncos ,+160
LA Chargers ,−115
LV Raiders ,−105
SF 49ers ,−198
ARI Cardinals ,+164
SEA Seahawks ,+190
LA Rams ,−230
