"team","week_1","week_2","week_3","week_4","week_5","week_6","week_7","week_8","week_9","week_10","week_11","week_12","week_13","week_14","week_15","week_16","week_17","week_18"
"ARI",27.79,44.86,36.31,55.14,21.33,34.25,51.74,30.92,47.39,41.7,NA,41.7,44.86,51.08,61.64,51.74,30.42,36.31
"ATL",60.38,36.91,38.36,61.64,59.34,61.64,60.92,48.92,48.92,51.08,60.38,NA,55.14,51.74,51.74,64.47,56.35,70.5
"BAL",41.7,75.72,50,59.34,47.39,77.15,66.36,51.74,81.73,58.3,57.21,58.3,62.25,NA,70.95,67.5,52.61,64.47
"BUF",72.21,48.92,66.36,40.66,46.75,47.39,75.08,57.21,58.3,54.27,50,NA,46.75,51.08,45.73,77.15,55.14,61.64
"CAR",36.91,39.62,36.91,28.64,33.64,38.36,41.7,44.86,47.83,48.26,NA,25.22,45.73,24.28,29.05,48.26,34.25,29.5
"CHI",63.09,38.36,44.86,52.61,66.36,49.57,NA,54.27,52.61,66.9,49.57,60.38,36.31,33.1,50.43,50,61.64,39.62
"CIN",76,38.36,74.41,71.36,52.61,67.5,50,58.3,73.35,41.7,54.27,NA,65.75,48.26,65.75,61.64,76,51.74
"CLE",55.14,45.73,70.5,57.21,59.34,41.7,50,48.26,59.96,NA,55.14,56.35,61.64,50,43.65,38.36,54.27,35.53
"DAL",44.86,69.08,50,63.69,53.25,51.74,NA,33.1,51.08,54.27,58.3,61.64,76,51.74,70.95,65.75,43.65,67.5
"DEN",31.46,42.79,38.36,25.22,50.43,42.79,38.36,55.14,18.27,21.81,39.62,41.7,38.36,NA,44.86,36.91,24,36.91
"DET",62.25,71.8,63.69,68.54,NA,48.26,60.38,75.08,47.39,48.26,63.69,55.14,63.69,58.3,54.27,50,35.53,67.5
"GB",45.73,64.47,61.64,65.75,44.86,65.75,55.14,51.08,52.61,NA,50.43,45.73,58.3,41.7,51.74,65.75,54.27,60.38
"HOU",57.21,61.64,63.69,61.64,53.25,68.06,44.86,63.69,43.65,51.74,41.7,69.08,50.43,NA,56.35,35.53,47.39,58.3
"IND",42.79,35.53,55.14,52.61,44.86,52.61,48.26,36.31,49.57,45.73,36.31,44.86,58.3,NA,55.14,63.09,53.25,54.27
"JAX",40.66,54.27,33.64,38.36,55.14,50.43,70.02,48.92,39.08,60.38,36.31,NA,49.57,52.61,48.92,50.43,63.09,45.73
"KC",58.3,61.64,61.64,60.92,75.72,NA,48.92,66.9,75.08,78.19,50,74.78,75.08,70.5,56.35,64.47,66.9,63.09
"LA",37.75,55.14,41.7,47.39,55.14,NA,64.47,61.64,52.61,51.08,63.69,50,53.25,48.92,29.05,41.7,69.58,66.9
"LAC",58.3,60.38,43.65,39.08,NA,57.21,48.26,58.3,40.04,63.09,45.73,41.7,44.86,29.5,58.3,63.09,56.35,51.08
"LV",41.7,24.28,63.09,42.79,49.57,48.92,35.53,33.1,26.65,NA,28.64,58.3,24.92,42.79,48.26,49.57,41.7,48.92
"MIA",59.34,51.08,53.25,70.95,64.47,NA,51.74,69.08,41.7,48.92,71.36,75.72,41.7,54.27,43.65,48.26,45.73,41.7
"MIN",53.25,28.64,36.31,34.25,36.91,NA,39.62,38.36,50.43,39.62,51.08,39.62,55.14,48.26,49.57,41.7,45.73,32.5
"NE",24,40.66,24.92,17.29,35.53,31.94,29.98,35.53,42.79,33.1,36.31,24.28,41.7,NA,38.36,22.85,43.65,38.36
"NO",63.09,30.92,41.7,38.36,24.28,52.61,61.64,41.7,52.17,48.92,44.86,NA,46.75,49.57,58.3,34.25,58.3,45.73
"NYG",46.75,43.65,29.5,36.31,38.36,32.5,35.53,37.75,53.25,51.74,NA,48.92,24,50.43,29.05,35.53,46.75,34.25
"NYJ",33.64,63.69,75.08,74.78,63.09,52.61,51.08,64.47,56.35,58.3,63.69,NA,65.75,45.73,51.08,58.3,44.86,58.3
"PHI",54.27,63.09,58.3,59.34,NA,58.3,64.47,41.7,60.92,45.73,74.09,50,37.75,75.72,64.47,60.38,56.35,65.75
"PIT",39.62,57.21,56.35,47.39,46.75,51.08,48.92,62.25,NA,52.61,42.79,43.65,34.25,50,35.53,32.5,33.1,48.26
"SEA",68.54,59.34,46.75,31.46,61.64,34.25,39.08,42.79,47.39,NA,22.32,58.3,34.25,48.92,48.26,58.3,38.36,33.1
"SF",66.36,71.36,58.3,82.71,78.67,65.75,51.08,66.9,NA,73.35,77.68,54.27,53.25,66.9,70.95,51.74,64.47,63.69
"TB",60.92,28.2,61.64,40.66,40.66,47.39,33.64,51.08,24.92,26.65,NA,51.08,54.27,57.21,41.7,34.25,65.75,54.27
"TEN",36.91,36.31,38.36,29.05,NA,47.39,24.92,24.92,57.21,36.91,48.92,30.92,47.39,47.39,34.25,36.91,36.91,41.7
"WAS",39.08,56.35,25.59,44.86,40.66,22.85,58.3,45.73,46.75,47.39,25.91,38.36,52.61,NA,41.7,39.62,43.65,32.5
